memory.total [MiB], memory.used [MiB], utilization.gpu [%], name, pci.bus_id
32768 MiB, 1894 MiB, 13 %, Tesla V100-PCIE-32GB, 00000000:06:00.0
32768 MiB, 1894 MiB, 1 %, Tesla V100-PCIE-32GB, 00000000:06:00.0
32768 MiB, 1894 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:06:00.0
32768 MiB, 1894 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:06:00.0
32768 MiB, 1894 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:06:00.0
32768 MiB, 1894 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:06:00.0
32768 MiB, 1894 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:06:00.0
32768 MiB, 1894 MiB, 42 %, Tesla V100-PCIE-32GB, 00000000:06:00.0
32768 MiB, 1894 MiB, 43 %, Tesla V100-PCIE-32GB, 00000000:06:00.0
32768 MiB, 1894 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:06:00.0
32768 MiB, 1894 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:06:00.0
